course_id,course_name,category,domain,difficulty_level,duration_weeks,estimated_hours,prerequisites,tags,description,instructor,rating,enrollment_count,price,price_category,popularity_score
DS007,SQL for Data Science,Database,Data Science,Beginner,6,30,None,"SQL Syntax, Joins, Aggregations, Subqueries",Master SQL for data analysis and database management,Maria Santos,4.6,3400,49.99,Budget,15.64
DS008,Time Series Analysis,Statistics,Data Science,Advanced,14,70,"Statistics, Python","ARIMA, Seasonal Decomposition, Forecasting, Prophet",Advanced time series analysis and forecasting techniques,Dr. James Liu,4.7,1200,119.99,Premium,5.64
DS009,Natural Language Processing,AI/ML,Data Science,Advanced,16,80,"ML Basics, Python","Text Processing, Sentiment Analysis, NLTK, spaCy",Comprehensive NLP course with practical applications,Dr. Elena Petrov,4.8,1800,139.99,Premium,8.64
DS010,Big Data Analytics,Big Data,Data Science,Advanced,18,90,"Python, SQL","Hadoop, Spark, Kafka, Data Pipeline Design",Handle and analyze large-scale data with modern tools,Prof. David Kumar,4.6,950,159.99,Premium,4.37
DS011,R Programming,Programming,Data Science,Beginner,8,40,Basic Math,"R Syntax, Data Manipulation, Statistical Analysis, ggplot2",Learn R programming for statistical analysis and visualization,Dr. Lisa Harper,4.3,1750,64.99,Mid-range,7.53
DS012,Pandas Mastery,Programming,Data Science,Intermediate,6,30,Intro to Python,"DataFrame Operations, Data Cleaning, Merging, Grouping",Master pandas library for data manipulation,Carlos Mendez,4.5,2200,54.99,Mid-range,9.9
DS013,NumPy Fundamentals,Programming,Data Science,Beginner,4,20,Intro to Python,"Array Operations, Mathematical Functions, Broadcasting",Essential NumPy for numerical computing in Python,Prof. Angela White,4.4,2800,39.99,Budget,12.32
DS014,Scikit-learn Workshop,Machine Learning,Data Science,Intermediate,10,50,ML Basics,"Model Selection, Cross-validation, Hyperparameter Tuning",Hands-on machine learning with scikit-learn,Dr. Michael Torres,4.6,2000,84.99,Premium,9.2
DS015,Statistical Modeling,Statistics,Data Science,Advanced,12,60,"Statistics, R Programming","Linear Models, GLM, Bayesian Analysis, Model Validation",Advanced statistical modeling techniques,Prof. Rebecca Adams,4.5,1400,99.99,Premium,6.3
WD005,CSS3 Advanced,Frontend,Web Development,Intermediate,8,40,Web Design Basics,"CSS Animations, Transforms, Custom Properties, CSS Grid",Advanced CSS techniques for modern web design,Sophie Chen,4.5,2600,59.99,Mid-range,11.7
WD006,Node.js Fundamentals,Backend,Web Development,Intermediate,10,50,JavaScript Essentials,"Express.js, NPM, Asynchronous Programming, RESTful APIs",Server-side JavaScript development with Node.js,Mark Johnson,4.4,2200,79.99,Mid-range,9.68
WD007,Vue.js Development,Framework,Web Development,Advanced,12,60,JavaScript Essentials,"Vue Components, Vuex, Vue Router, Composition API",Build dynamic web applications with Vue.js,Dr. Amanda Rodriguez,4.6,1800,94.99,Premium,8.28
WD008,Angular Essentials,Framework,Web Development,Advanced,14,70,JavaScript Essentials,"Angular Components, Services, Routing, RxJS",Enterprise web development with Angular,Prof. Kevin Park,4.5,1600,109.99,Premium,7.2
WD009,Web Security,Security,Web Development,Advanced,8,40,"JavaScript Essentials, Node.js Fundamentals","OWASP, XSS Prevention, CSRF, Authentication, Authorization",Secure web application development practices,Dr. Lisa Black,4.7,1200,89.99,Premium,5.64
WD010,WordPress Development,CMS,Web Development,Intermediate,10,50,HTML5 Fundamentals,"WordPress Themes, Plugins, Custom Post Types, Hooks",Build custom WordPress websites and plugins,Carlos Martinez,4.3,2400,69.99,Mid-range,10.32
WD011,Responsive Web Design,Design,Web Development,Intermediate,6,30,Web Design Basics,"Media Queries, Mobile-First Design, Progressive Enhancement",Create websites that work on all devices,Emma Davis,4.4,2800,54.99,Mid-range,12.32
WD012,Web Performance,Optimization,Web Development,Advanced,8,40,"JavaScript Essentials, Node.js Fundamentals","Lazy Loading, Code Splitting, Performance Metrics, Optimization",Optimize web applications for speed and performance,Dr. Ryan Thompson,4.6,1000,94.99,Premium,4.6
WD013,GraphQL Fundamentals,API,Web Development,Advanced,6,30,Node.js Fundamentals,"GraphQL Schema, Queries, Mutations, Apollo Server",Modern API development with GraphQL,Prof. Jennifer Kim,4.5,1400,79.99,Mid-range,6.3
WD014,TypeScript Essentials,Programming,Web Development,Intermediate,8,40,JavaScript Essentials,"Type Annotations, Interfaces, Generics, Modules",Strongly-typed JavaScript development,Michael Brown,4.7,2000,69.99,Mid-range,9.4
WD015,Progressive Web Apps,Framework,Web Development,Advanced,10,50,"JavaScript Essentials, Web Design Basics","Service Workers, Offline Functionality, Push Notifications",Build app-like web experiences,Dr. Sarah Wilson,4.6,1200,99.99,Premium,5.52
BF004,Investment Analysis,Finance,Business,Intermediate,10,50,Finance 101,"Portfolio Theory, Risk Assessment, Asset Valuation, Financial Markets",Learn investment strategies and portfolio management,Prof. William Davis,4.4,1400,79.99,Mid-range,6.16
BF005,Corporate Finance,Finance,Business,Advanced,12,60,"Finance 101, Investment Analysis","Capital Structure, Valuation, M&A, Financial Planning",Advanced corporate financial management,Dr. Patricia Moore,4.5,1100,99.99,Premium,4.95
BF006,Financial Modeling,Finance,Business,Advanced,14,70,"Finance 101, Excel for Business","DCF Models, Scenario Analysis, Sensitivity Analysis, Excel VBA",Build comprehensive financial models,Prof. Robert Taylor,4.6,800,129.99,Premium,3.68
BF007,Accounting Fundamentals,Accounting,Business,Beginner,8,40,Basic Math,"Financial Statements, Journal Entries, Trial Balance, Cash Flow",Essential accounting principles for business,Maria Gonzalez,4.2,2200,59.99,Mid-range,9.24
BF008,Business Strategy,Strategy,Business,Intermediate,10,50,Business Experience Recommended,"Strategic Planning, Competitive Analysis, SWOT, Porter's Five Forces",Develop winning business strategies,Dr. James Anderson,4.4,1800,84.99,Premium,7.92
BF009,Digital Marketing,Marketing,Business,Beginner,8,40,None,"SEO, Social Media, Content Marketing, Email Marketing",Comprehensive digital marketing strategies,Lisa Rodriguez,4.3,3200,64.99,Mid-range,13.76
BF010,Data Analytics for Business,Analytics,Business,Intermediate,10,50,Excel for Business,"Business Intelligence, KPIs, Reporting, Data-Driven Decisions",Use data analytics to drive business decisions,Dr. Kevin Chen,4.5,1900,79.99,Mid-range,8.55
BF011,Project Management,Management,Business,Intermediate,8,40,None,"Project Planning, Risk Management, Resource Allocation, Gantt Charts",Essential project management skills,Prof. Nancy White,4.4,2600,69.99,Mid-range,11.44
BF012,Leadership Skills,Management,Business,Intermediate,6,30,None,"Team Building, Communication, Conflict Resolution, Motivation",Develop effective leadership capabilities,Dr. Steven Brown,4.3,1600,59.99,Mid-range,6.88
BF013,Entrepreneurship,Business,Business,Intermediate,12,60,None,"Business Plans, Startup Funding, Market Validation, Lean Startup",Launch and grow successful businesses,Michelle Garcia,4.5,1200,89.99,Premium,5.4
BF014,Supply Chain Management,Operations,Business,Intermediate,10,50,None,"Logistics, Inventory Management, Supplier Relations, Optimization",Optimize supply chain operations,Prof. Daniel Kim,4.2,1000,74.99,Mid-range,4.2
BF015,International Business,Business,Business,Advanced,12,60,Business Strategy,"Global Markets, Cultural Differences, Trade Regulations, Currency",Navigate international business environments,Dr. Elena Martinez,4.4,900,94.99,Premium,3.96
DG003,Graphic Design Fundamentals,Visual Design,Design,Beginner,8,40,None,"Adobe Creative Suite, Design Principles, Color Theory, Typography",Master the fundamentals of graphic design,Alex Thompson,4.4,2400,69.99,Mid-range,10.56
DG004,Adobe Photoshop Mastery,Tools,Design,Intermediate,10,50,Graphic Design Fundamentals,"Photo Editing, Compositing, Retouching, Digital Art",Advanced Photoshop techniques for designers,Prof. Sarah Kim,4.6,2100,84.99,Premium,9.66
DG005,Illustrator for Designers,Tools,Design,Intermediate,8,40,Graphic Design Fundamentals,"Vector Graphics, Logo Design, Illustrations, Typography",Create stunning vector graphics with Illustrator,Carlos Wilson,4.5,1800,79.99,Mid-range,8.1
DG006,UI/UX Design,UX Design,Design,Intermediate,12,60,UX Principles,"Interface Design, User Testing, Design Systems, Figma",Design intuitive user interfaces and experiences,Dr. Amanda Taylor,4.7,2200,94.99,Premium,10.34
DG007,Motion Graphics,Animation,Design,Advanced,14,70,"Graphic Design Fundamentals, Adobe Photoshop Mastery","After Effects, Animation Principles, Motion Design, Video Editing",Create engaging motion graphics and animations,Prof. Michael Rodriguez,4.6,1200,119.99,Premium,5.52
DG008,Brand Identity Design,Branding,Design,Advanced,10,50,Graphic Design Fundamentals,"Logo Design, Brand Guidelines, Corporate Identity, Market Research",Develop compelling brand identities,Lisa Chen,4.5,1000,99.99,Premium,4.5
DG009,Web Design Advanced,Web Design,Design,Advanced,12,60,"UX Principles, Visual Design","Responsive Design, Interaction Design, Accessibility, Design Systems",Advanced web design principles and practices,Dr. Kevin Johnson,4.6,1400,89.99,Premium,6.44
DG010,Design Thinking,Design Process,Design,Intermediate,8,40,UX Principles,"Problem Solving, Ideation, Prototyping, Testing, Innovation",Apply design thinking to solve complex problems,Prof. Jennifer Davis,4.4,1600,74.99,Mid-range,7.04
DG011,3D Design Basics,3D Design,Design,Intermediate,12,60,Graphic Design Fundamentals,"Blender, 3D Modeling, Texturing, Rendering, Animation",Introduction to 3D design and modeling,Dr. Robert Park,4.5,1100,94.99,Premium,4.95
DG012,Print Design,Print,Design,Intermediate,6,30,Graphic Design Fundamentals,"Layout Design, Typography, Prepress, Color Management",Design for print media and publications,Maria Santos,4.3,1200,64.99,Mid-range,5.16
DG013,Package Design,Product Design,Design,Advanced,8,40,"Graphic Design Fundamentals, Brand Identity Design","Packaging Concepts, Die-cutting, Sustainability, Consumer Psychology",Create effective product packaging designs,Carlos Anderson,4.4,800,89.99,Premium,3.52
DG014,Digital Illustration,Illustration,Design,Intermediate,10,50,Illustrator for Designers,"Character Design, Concept Art, Digital Painting, Stylization",Master digital illustration techniques,Dr. Angela White,4.6,1300,84.99,Premium,5.98
DG015,Photography Basics,Photography,Design,Beginner,6,30,None,"Camera Settings, Composition, Lighting, Photo Editing",Learn fundamental photography skills,Prof. Lisa Martinez,4.3,2000,54.99,Mid-range,8.6
CS004,Cryptography,Security,Cybersecurity,Advanced,12,60,"Network Basics, OS Fundamentals","Encryption, Hashing, Digital Signatures, PKI, Blockchain",Advanced cryptographic concepts and applications,Dr. Michael Chen,4.7,800,129.99,Premium,3.76
CS005,Incident Response,Security,Cybersecurity,Advanced,10,50,Ethical Hacking,"Forensics, Threat Hunting, Malware Analysis, Recovery Procedures",Handle and investigate security incidents,Prof. Sarah Black,4.6,600,119.99,Premium,2.76
CS006,Cloud Security,Security,Cybersecurity,Advanced,14,70,"Network Basics, Cloud Basics","AWS Security, Azure Security, Compliance, Identity Management",Secure cloud infrastructure and applications,Dr. Kevin Rodriguez,4.5,900,139.99,Premium,4.05
CS007,Mobile Security,Security,Cybersecurity,Intermediate,8,40,Network Basics,"iOS Security, Android Security, App Security, Mobile Threats",Secure mobile applications and devices,Maria Thompson,4.4,1200,89.99,Premium,5.28
CS008,Web Application Security,Security,Cybersecurity,Advanced,12,60,"Network Basics, Ethical Hacking","OWASP Top 10, SQL Injection, XSS, Secure Coding",Secure web applications from common vulnerabilities,Dr. James Wilson,4.7,1000,109.99,Premium,4.7
CS009,Risk Assessment,Security,Cybersecurity,Intermediate,6,30,Network Basics,"Risk Analysis, Compliance, Audit, Security Frameworks",Assess and manage cybersecurity risks,Prof. Lisa Davis,4.3,1100,74.99,Mid-range,4.73
CS010,Digital Forensics,Forensics,Cybersecurity,Advanced,16,80,OS Fundamentals,"Evidence Collection, Chain of Custody, Analysis Tools, Legal Issues",Investigate digital crimes and incidents,Dr. Robert Garcia,4.8,500,159.99,Premium,2.4
CS011,Security Awareness,Training,Cybersecurity,Beginner,4,20,None,"Phishing, Social Engineering, Password Security, Best Practices",Build security awareness in organizations,Amanda Martinez,4.2,2400,39.99,Budget,10.08
CS012,Vulnerability Management,Security,Cybersecurity,Intermediate,8,40,Network Basics,"Vulnerability Scanning, Patch Management, Risk Prioritization",Manage and remediate security vulnerabilities,Dr. Steven Kim,4.4,800,84.99,Premium,3.52
CS013,Security Architecture,Architecture,Cybersecurity,Advanced,14,70,"Network Basics, OS Fundamentals","Security Design, Zero Trust, Defense in Depth, Threat Modeling",Design secure system architectures,Prof. Jennifer Chen,4.6,600,129.99,Premium,2.76
CS014,Compliance Management,Compliance,Cybersecurity,Intermediate,10,50,Network Basics,"GDPR, HIPAA, SOX, PCI DSS, Audit Preparation",Navigate cybersecurity compliance requirements,Dr. Carlos Brown,4.3,900,94.99,Premium,3.87
CS015,Malware Analysis,Security,Cybersecurity,Advanced,12,60,OS Fundamentals,"Static Analysis, Dynamic Analysis, Reverse Engineering, Sandboxing",Analyze and understand malicious software,Maria Rodriguez,4.7,400,149.99,Premium,1.88
GD003,Unreal Engine Basics,Game Engine,Game Development,Intermediate,14,70,Unity Basics,"Unreal Interface, Blueprints, Materials, Lighting, Animation",Create games with Unreal Engine,Dr. Tom Wilson,4.6,1200,99.99,Premium,5.52
GD004,2D Game Development,Game Development,Game Development,Beginner,10,50,Basic Programming Knowledge,"Sprite Animation, Collision Detection, Game Physics, UI Design",Create engaging 2D games from scratch,Jessica Martinez,4.4,1800,74.99,Mid-range,7.92
GD005,3D Game Programming,Programming,Game Development,Advanced,16,80,"Unity Basics, OOP Concepts","3D Mathematics, Shaders, Optimization, Multiplayer Networking",Advanced 3D game programming techniques,Prof. David Kim,4.7,1000,129.99,Premium,4.7
GD006,Game Art and Animation,Art,Game Development,Intermediate,12,60,Graphic Design Fundamentals,"Character Design, Environment Art, Rigging, Animation Principles",Create compelling game art and animations,Dr. Sarah Thompson,4.5,1400,89.99,Premium,6.3
GD007,Mobile Game Development,Mobile,Game Development,Intermediate,10,50,Unity Basics,"Touch Controls, Mobile Optimization, App Store Deployment, Monetization",Develop games for mobile platforms,Carlos Chen,4.4,1600,84.99,Premium,7.04
GD008,Game Audio Design,Audio,Game Development,Intermediate,8,40,Unity Basics,"Sound Effects, Music Composition, Audio Implementation, Spatial Audio",Create immersive game audio experiences,Prof. Lisa Garcia,4.3,800,79.99,Mid-range,3.44
GD009,Virtual Reality Games,VR,Game Development,Advanced,14,70,"Unity Basics, 3D Game Programming","VR Interaction, Comfort Settings, Spatial Design, VR Optimization",Develop immersive VR game experiences,Dr. Michael Davis,4.6,600,139.99,Premium,2.76
GD010,Game Marketing,Marketing,Game Development,Intermediate,6,30,None,"Steam Marketing, App Store Optimization, Community Building, PR",Market and promote your games effectively,Amanda Rodriguez,4.2,1200,64.99,Mid-range,5.04
GD011,Indie Game Business,Business,Game Development,Intermediate,8,40,None,"Game Monetization, Publishing, Legal Issues, Team Management",Navigate the business side of game development,Prof. Kevin Martinez,4.3,1000,74.99,Mid-range,4.3
GD012,Game Testing and QA,Testing,Game Development,Beginner,6,30,Unity Basics,"Bug Tracking, Test Planning, User Testing, Quality Assurance",Ensure game quality through systematic testing,Dr. Jennifer Wilson,4.4,1400,59.99,Mid-range,6.16
GD013,Multiplayer Game Development,Networking,Game Development,Advanced,16,80,"Unity Basics, 3D Game Programming","Network Architecture, Synchronization, Lag Compensation, Security",Build multiplayer games and systems,Prof. Robert Kim,4.7,800,149.99,Premium,3.76
GD014,Game Narrative Design,Writing,Game Development,Intermediate,8,40,Game Mechanics,"Storytelling, Character Development, Dialogue Systems, Branching Narratives",Craft compelling game stories and narratives,Dr. Angela Chen,4.5,1100,79.99,Mid-range,4.95
GD015,Game Localization,Localization,Game Development,Intermediate,6,30,None,"Translation, Cultural Adaptation, Testing, International Markets",Adapt games for global markets,Maria Brown,4.3,600,69.99,Mid-range,2.58
CC003,Microsoft Azure,Cloud Platform,Cloud,Intermediate,12,60,Cloud Basics,"Azure Services, Virtual Machines, Storage, Networking, DevOps",Master Microsoft Azure cloud platform,Dr. Lisa Thompson,4.5,2400,94.99,Premium,10.8
CC004,Google Cloud Platform,Cloud Platform,Cloud,Intermediate,12,60,Cloud Basics,"GCP Services, Compute Engine, Cloud Storage, BigQuery, Kubernetes",Get started with Google Cloud Platform,Prof. Kevin Davis,4.4,2000,89.99,Premium,8.8
CC005,Docker Fundamentals,Containerization,Cloud,Intermediate,8,40,Cloud Basics,"Containers, Docker Images, Dockerfile, Docker Compose, Registry",Master containerization with Docker,Dr. Sarah Martinez,4.6,2200,74.99,Mid-range,10.12
CC006,Kubernetes Mastery,Orchestration,Cloud,Advanced,14,70,Docker Fundamentals,"Pods, Services, Deployments, ConfigMaps, Secrets, Ingress",Orchestrate containers with Kubernetes,Prof. Michael Rodriguez,4.7,1600,119.99,Premium,7.52
CC007,Serverless Computing,Serverless,Cloud,Advanced,10,50,Cloud Basics,"Lambda Functions, API Gateway, Event-Driven Architecture, Microservices",Build serverless applications and architectures,Dr. Amanda Wilson,4.5,1400,99.99,Premium,6.3
CC008,Cloud DevOps,DevOps,Cloud,Advanced,12,60,"Cloud Basics, Docker Fundamentals","CI/CD, Infrastructure as Code, Monitoring, Automation",Implement DevOps practices in the cloud,Carlos Kim,4.6,1200,109.99,Premium,5.52
CC009,Cloud Storage Solutions,Storage,Cloud,Intermediate,6,30,Cloud Basics,"Object Storage, Block Storage, File Systems, Backup, Archiving",Implement cloud storage strategies,Dr. Jennifer Chen,4.3,1800,69.99,Mid-range,7.74
CC010,Cloud Networking,Networking,Cloud,Advanced,10,50,"Cloud Basics, Network Basics","VPC, Subnets, Load Balancers, CDN, Security Groups",Design and implement cloud networks,Prof. Robert Garcia,4.4,1000,89.99,Premium,4.4
CC011,Cloud Cost Optimization,Cost Management,Cloud,Intermediate,6,30,Cloud Basics,"Cost Analysis, Resource Optimization, Budgeting, Reserved Instances",Optimize cloud spending and resources,Maria Davis,4.2,1600,64.99,Mid-range,6.72
CC012,Cloud Migration,Migration,Cloud,Advanced,14,70,Cloud Basics,"Migration Strategies, Assessment, Planning, Execution, Optimization",Migrate applications and data to the cloud,Dr. Steven Martinez,4.5,800,129.99,Premium,3.6
CC013,Cloud Monitoring,Monitoring,Cloud,Intermediate,8,40,Cloud Basics,"Logging, Metrics, Alerting, Dashboards, Performance Monitoring",Monitor and troubleshoot cloud applications,Prof. Lisa Rodriguez,4.4,1200,79.99,Mid-range,5.28
CC014,Multi-Cloud Strategy,Strategy,Cloud,Advanced,10,50,"Cloud Basics, Intro to AWS","Cloud Comparison, Vendor Management, Hybrid Cloud, Risk Management",Implement multi-cloud architectures,Dr. Kevin Thompson,4.3,600,109.99,Premium,2.58
CC015,Cloud Disaster Recovery,Disaster Recovery,Cloud,Advanced,8,40,Cloud Basics,"Backup Strategies, RTO/RPO, Failover, Business Continuity",Implement disaster recovery in the cloud,Amanda Brown,4.5,1000,94.99,Premium,4.5
HR003,Talent Acquisition,Recruitment,Business,Intermediate,8,40,HR Fundamentals,"Sourcing, Interviewing, Candidate Assessment, Onboarding",Master modern talent acquisition strategies,Dr. Patricia Wilson,4.4,1200,69.99,Mid-range,5.28
HR004,Performance Management,Management,Business,Intermediate,6,30,HR Fundamentals,"Goal Setting, Feedback, Performance Reviews, Development Planning",Effective performance management systems,Prof. James Kim,4.3,1000,59.99,Mid-range,4.3
HR005,Employee Engagement,Engagement,Business,Intermediate,8,40,HR Fundamentals,"Motivation, Retention, Culture, Communication, Recognition",Build engaged and motivated teams,Dr. Sarah Garcia,4.5,1400,74.99,Mid-range,6.3
HR006,Compensation and Benefits,Compensation,Business,Advanced,10,50,HR Fundamentals,"Salary Structures, Benefits Design, Equity, Market Analysis",Design competitive compensation packages,Maria Chen,4.2,800,89.99,Premium,3.36
HR007,HR Analytics,Analytics,Business,Advanced,12,60,"HR Fundamentals, Excel for Business","People Analytics, Metrics, Reporting, Predictive Analytics",Use data to drive HR decisions and strategies,Dr. Michael Rodriguez,4.4,600,99.99,Premium,2.64
HR008,Labor Relations,Relations,Business,Advanced,10,50,HR Fundamentals,"Union Relations, Collective Bargaining, Grievance Handling, Labor Law",Navigate labor relations and union environments,Prof. Jennifer Davis,4.3,700,84.99,Premium,3.01
HR009,Diversity and Inclusion,Diversity,Business,Intermediate,6,30,HR Fundamentals,"Inclusive Hiring, Bias Training, Cultural Competency, DEI Strategy",Build diverse and inclusive workplaces,Dr. Lisa Martinez,4.6,1800,64.99,Mid-range,8.28
HR010,Training and Development,Training,Business,Intermediate,8,40,HR Fundamentals,"Learning Design, Skills Assessment, Career Development, Coaching",Develop effective training programs,Carlos Thompson,4.4,1200,69.99,Mid-range,5.28
HR011,Change Management,Change,Business,Advanced,10,50,HR Fundamentals,"Change Models, Communication, Resistance Management, Culture Change",Lead organizational change initiatives,Dr. Amanda Kim,4.5,1000,89.99,Premium,4.5
HR012,Employment Law,Legal,Business,Advanced,8,40,HR Fundamentals,"Compliance, Documentation, Risk Management, Legal Updates",Navigate employment law and compliance,Prof. Robert Wilson,4.3,900,79.99,Mid-range,3.87
HR013,HR Technology,Technology,Business,Intermediate,6,30,HR Fundamentals,"HRIS, ATS, Performance Systems, Digital HR Transformation",Leverage technology in HR operations,Maria Rodriguez,4.2,1100,64.99,Mid-range,4.62
HR014,Global HR Management,Global,Business,Advanced,12,60,HR Fundamentals,"Cross-Cultural Management, International Law, Global Mobility",Manage HR across international operations,Dr. Steven Chen,4.4,600,109.99,Premium,2.64
HR015,Strategic HR Planning,Strategy,Business,Advanced,10,50,HR Fundamentals,"Workforce Planning, Succession Planning, Organizational Design",Align HR strategy with business objectives,Prof. Angela Brown,4.5,800,94.99,Premium,3.6
PM003,Data-Driven Product Management,Analytics,Product Management,Advanced,12,60,"Product Strategy, Excel for Business","Product Analytics, A/B Testing, User Metrics, Data Visualization",Use data to drive product decisions,Dr. Michelle Garcia,4.6,1200,109.99,Premium,5.52
