course_id,course_name,category,domain,difficulty_level,tags,prerequisite,instructor,enrollment_count,price,price_category,rating,duration_weeks,estimated_hours,popularity_score
COURSE011,Organic Chemistry I: Foundations and Reaction Mechanisms,Science,Chemistry,Intermediate,"organic chemistry, reaction mechanisms, molecular structure, synthesis, spectroscopy",general chemistry,Dr. Rachel Green,2200,59.99,Mid-range,4.1,12,60,9.02
COURSE012,Project Management Professional (PMP) Certification,Business,Project Management,Advanced,"project management, pmp, agile, scrum, leadership, certification",work experience,Sophie Taylor,2100,74.99,Mid-range,4.6,10,50,9.66
COURSE013,Complete C++ Developer Course,Programming,Software Development,Intermediate,"c++, programming, object oriented programming, data structures, algorithms",basic programming knowledge,Alex Parker,1800,69.99,Mid-range,4.5,8,40,8.1
COURSE014,The Complete SQL Bootcamp: Go from Zero to Hero,Programming,Database Management,Beginner,"sql, database, mysql, postgresql, data analysis, queries",basic computer skills,James Wilson,1400,59.99,Mid-range,4.3,8,40,6.02
COURSE015,Advanced Excel Formulas & Functions,Business,Data Analysis,Intermediate,"excel, formulas, functions, data analysis, pivot tables, vba",basic excel knowledge,Maria Gonzalez,1200,69.99,Mid-range,4.4,10,50,5.28
COURSE016,Introduction to Psychology: The Psychology of Learning,Science,Psychology,Beginner,"psychology, learning theory, behavior, cognition, research methods",high school education,Dr. Robert Black,980,149.99,Premium,4.8,16,80,4.7
COURSE017,Blockchain and Cryptocurrency Explained,Engineering,Blockchain Technology,Intermediate,"blockchain, cryptocurrency, bitcoin, ethereum, smart contracts, decentralization",basic technology concepts,Tom Bradley,1600,79.99,Mid-range,4.5,12,60,7.2
COURSE018,Adobe Illustrator CC – Advanced Training Course,Design,Graphic Design,Advanced,"illustrator, vector graphics, logo design, illustration, graphic design, branding",basic illustrator knowledge,Jessica Lee,1100,84.99,Premium,4.6,10,50,5.06
COURSE019,React - The Complete Guide (incl Hooks React Router Redux),Programming,Web Development,Advanced,"react, javascript, hooks, redux, frontend development, spa",javascript proficiency,Ryan Moore,2000,54.99,Mid-range,4.2,6,30,8.4
COURSE020,Introduction to Data Science with Python,Programming,Data Science,Beginner,"data science, python, pandas, numpy, matplotlib, data visualization",basic programming knowledge,Linda Chang,2800,94.99,Premium,4.7,12,60,13.16
COURSE021,Fundamentals of Mechanical Engineering,Engineering,Mechanical Engineering,Intermediate,"mechanical engineering, thermodynamics, fluid mechanics, materials science, CAD",calculus and physics,Patricia Davis,1300,59.99,Mid-range,4.3,8,40,5.59
COURSE022,Digital Photography Masterclass,Arts,Photography,Intermediate,"photography, digital photography, composition, lighting, post processing, portfolio",basic camera operation,Dr. Steven White,900,39.99,Budget,4.1,4,20,3.69
COURSE023,Introduction to Microeconomics,Business,Economics,Beginner,"microeconomics, market theory, supply and demand, consumer behavior, pricing",high school mathematics,Michelle Brown,1500,89.99,Premium,4.5,10,50,6.75
COURSE024,The Complete Android N Developer Course,Programming,Mobile Development,Intermediate,"android development, java, kotlin, mobile apps, android studio, firebase",basic programming knowledge,Daniel Miller,2200,69.99,Mid-range,4.4,8,40,9.68
COURSE025,Cybersecurity Fundamentals,Engineering,Cybersecurity,Beginner,"cybersecurity, network security, ethical hacking, risk management, compliance",basic networking concepts,Dr. Andrew Clark,1800,64.99,Mid-range,4.3,8,40,7.74
COURSE026,3D Modeling and Animation with Blender,Design,3D Design,Intermediate,"blender, 3d modeling, animation, rendering, texturing, game design",basic computer graphics,Prof. Nancy Adams,1400,79.99,Mid-range,4.6,12,60,6.44
COURSE027,Statistics for Data Science and Business Analysis,Science,Statistics,Intermediate,"statistics, data analysis, hypothesis testing, regression analysis, r, python",basic mathematics,Dr. Sarah Mitchell,2650,74.99,Mid-range,4.5,10,50,11.93
COURSE028,The Complete iOS App Development Bootcamp,Programming,Mobile Development,Advanced,"ios development, swift, xcode, mobile apps, app store, objective-c",programming fundamentals,Prof. Robert Chen,2100,69.99,Mid-range,4.4,8,40,9.24
COURSE029,Content Marketing Mastery: How to Build a Winning Strategy,Business,Content Marketing,Intermediate,"content marketing, seo, blogging, social media, brand strategy, copywriting",basic marketing knowledge,Maria Santos,3400,49.99,Budget,4.6,6,30,15.64
COURSE030,Introduction to Electrical Engineering,Engineering,Electrical Engineering,Beginner,"electrical engineering, circuits, electronics, power systems, signal processing",calculus and physics,Dr. James Liu,1200,119.99,Premium,4.7,14,70,5.64
COURSE031,Video Editing with Adobe Premiere Pro CC,Design,Video Production,Intermediate,"premiere pro, video editing, motion graphics, color correction, audio editing",basic computer skills,Dr. Elena Petrov,1800,139.99,Premium,4.8,16,80,8.64
COURSE032,Deep Learning A-Z: Hands-On Artificial Neural Networks,Programming,Artificial Intelligence,Advanced,"deep learning, neural networks, tensorflow, keras, computer vision, nlp",machine learning basics,Prof. David Kumar,950,159.99,Premium,4.6,18,90,4.37
COURSE033,Human Anatomy and Physiology,Science,Biology,Intermediate,"anatomy, physiology, human biology, medical science, body systems",high school biology,Dr. Lisa Harper,1750,64.99,Mid-range,4.3,8,40,7.53
COURSE034,Google Ads (AdWords) Certification Course,Business,Digital Advertising,Intermediate,"google ads, ppc, digital advertising, sem, campaign management, analytics",basic marketing knowledge,Carlos Mendez,2200,54.99,Mid-range,4.5,6,30,9.9
COURSE035,Introduction to Game Development with Unity,Programming,Game Development,Beginner,"unity, game development, c#, 2d games, 3d games, game design",basic programming concepts,Prof. Angela White,2800,39.99,Budget,4.4,4,20,12.32
COURSE036,Forensic Psychology: Criminal Minds and Legal Systems,Science,Psychology,Advanced,"forensic psychology, criminal behavior, legal systems, psychological assessment",psychology fundamentals,Dr. Michael Torres,2000,84.99,Premium,4.6,10,50,9.2
COURSE037,Supply Chain Management Fundamentals,Business,Operations Management,Intermediate,"supply chain, logistics, operations management, procurement, inventory management",business fundamentals,Prof. Rebecca Adams,1400,99.99,Premium,4.5,12,60,6.3
COURSE038,Adobe After Effects CC: Complete Course from Novice to Expert,Design,Motion Graphics,Advanced,"after effects, motion graphics, visual effects, animation, compositing",basic video editing,Sophie Chen,2600,59.99,Mid-range,4.5,8,40,11.7
COURSE039,Linux Administration Bootcamp: Go from Beginner to Advanced,Engineering,System Administration,Intermediate,"linux, system administration, command line, server management, bash scripting",basic computer knowledge,Mark Johnson,2200,79.99,Mid-range,4.4,10,50,9.68
COURSE040,Calculus I: Single Variable Calculus,Science,Mathematics,Intermediate,"calculus, derivatives, integrals, limits, mathematical analysis",algebra and trigonometry,Dr. Amanda Rodriguez,1800,94.99,Premium,4.6,12,60,8.28
COURSE041,Salesforce Administrator Certification Training,Business,CRM,Advanced,"salesforce, crm, cloud computing, business processes, certification, automation",business process knowledge,Prof. Kevin Park,1600,109.99,Premium,4.5,14,70,7.2
COURSE042,The Complete Figma Course: Design Systems UI/UX and Prototyping,Design,UI/UX Design,Intermediate,"figma, ui design, prototyping, design systems, collaboration, user interface",basic design knowledge,Dr. Lisa Black,1200,89.99,Premium,4.7,8,40,5.64
COURSE043,Introduction to Environmental Science,Science,Environmental Science,Beginner,"environmental science, ecology, sustainability, climate change, pollution, conservation",high school science,Carlos Martinez,2400,69.99,Mid-range,4.3,10,50,10.32
COURSE044,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,Engineering,DevOps,Advanced,"docker, kubernetes, containerization, devops, microservices, orchestration",linux fundamentals,Emma Davis,2800,54.99,Mid-range,4.4,6,30,12.32
COURSE045,Creative Writing: Crafting Personal Essays and Memoirs,Arts,Writing,Intermediate,"creative writing, personal essays, memoirs, storytelling, narrative structure",basic writing skills,Dr. Ryan Thompson,1000,94.99,Premium,4.6,8,40,4.6
COURSE046,Fundamentals of Music Theory,Arts,Music,Beginner,"music theory, scales, chords, rhythm, composition, harmony",basic musical knowledge,Prof. Jennifer Kim,1400,79.99,Mid-range,4.5,6,30,6.3
COURSE047,Complete Guide to TensorFlow for Deep Learning with Python,Programming,Machine Learning,Advanced,"tensorflow, deep learning, python, neural networks, computer vision, nlp",python and machine learning,Michael Brown,2000,69.99,Mid-range,4.7,8,40,9.4
COURSE048,Corporate Finance Fundamentals,Business,Finance,Intermediate,"corporate finance, financial analysis, capital budgeting, risk management, valuation",accounting basics,Dr. Sarah Wilson,1200,99.99,Premium,4.6,10,50,5.52
COURSE049,AutoCAD 2024: Complete Training Course,Engineering,CAD Design,Intermediate,"autocad, cad design, technical drawing, drafting, 2d design, 3d modeling",basic technical drawing,Prof. William Davis,1400,79.99,Mid-range,4.4,10,50,6.16
COURSE050,Social Psychology: Understanding Human Behavior,Science,Psychology,Intermediate,"social psychology, group behavior, social cognition, attitudes, interpersonal relations",psychology basics,Dr. Patricia Moore,1100,99.99,Premium,4.5,12,60,4.95
COURSE051,The Complete Shopify Dropshipping Course,Business,E-commerce,Beginner,"shopify, dropshipping, e-commerce, online business, product research, marketing",basic business knowledge,Prof. Robert Taylor,800,129.99,Premium,4.6,14,70,3.68
COURSE052,Introduction to Neuroscience,Science,Neuroscience,Advanced,"neuroscience, brain anatomy, neural networks, cognitive neuroscience, research methods",biology and psychology,Maria Gonzalez,2200,59.99,Mid-range,4.2,8,40,9.24
COURSE053,Complete WordPress Developer Course - Plugins & Themes,Programming,Web Development,Intermediate,"wordpress, php, mysql, plugin development, theme development, cms",basic web development,Dr. James Anderson,1800,84.99,Premium,4.4,10,50,7.92
COURSE054,Principles of Macroeconomics,Business,Economics,Intermediate,"macroeconomics, gdp, inflation, monetary policy, fiscal policy, economic growth",microeconomics knowledge,Lisa Rodriguez,3200,64.99,Mid-range,4.3,8,40,13.76
COURSE055,Lighting Design for Film and Photography,Arts,Film Production,Advanced,"lighting design, cinematography, photography, visual storytelling, equipment, techniques",photography basics,Dr. Kevin Chen,1900,79.99,Mid-range,4.5,10,50,8.55
COURSE056,Complete Kubernetes Course with Practice Tests,Engineering,DevOps,Advanced,"kubernetes, container orchestration, devops, cloud native, microservices, yaml",docker knowledge,Prof. Nancy White,2600,69.99,Mid-range,4.4,8,40,11.44
COURSE057,Introduction to Biotechnology,Science,Biotechnology,Intermediate,"biotechnology, genetic engineering, molecular biology, bioprocessing, pharmaceutical",biology and chemistry,Dr. Steven Brown,1600,59.99,Mid-range,4.3,6,30,6.88
COURSE058,Facebook Ads & Facebook Marketing Mastery Guide,Business,Social Media Marketing,Intermediate,"facebook ads, social media marketing, digital advertising, audience targeting, roi",basic marketing concepts,Michelle Garcia,1200,89.99,Premium,4.5,12,60,5.4
COURSE059,Game Design and Development with Unreal Engine,Programming,Game Development,Advanced,"unreal engine, game development, blueprints, c++, 3d games, level design",programming fundamentals,Prof. Daniel Kim,1000,74.99,Mid-range,4.2,10,50,4.2
COURSE060,Cognitive Behavioral Therapy (CBT) Techniques,Science,Psychology,Advanced,"cbt, cognitive therapy, behavior modification, mental health, therapeutic techniques",psychology degree,Dr. Elena Martinez,900,94.99,Premium,4.4,12,60,3.96
COURSE061,Complete Ethical Hacking Course: Beginner to Advanced!,Engineering,Cybersecurity,Advanced,"ethical hacking, penetration testing, network security, vulnerability assessment, kali linux",networking and security,Alex Thompson,2400,69.99,Mid-range,4.4,8,40,10.56
COURSE062,Brand Identity Design: Creating Memorable Brand Experiences,Design,Brand Design,Intermediate,"brand design, logo design, brand identity, visual identity, brand strategy",graphic design basics,Prof. Sarah Kim,2100,84.99,Premium,4.6,10,50,9.66
COURSE063,Introduction to Quantum Physics,Science,Physics,Advanced,"quantum physics, quantum mechanics, wave particle duality, uncertainty principle, atomic theory",calculus and physics,Carlos Wilson,1800,79.99,Mid-range,4.5,8,40,8.1
COURSE064,Complete Instagram Marketing Course 2024,Business,Social Media Marketing,Beginner,"instagram marketing, social media strategy, content creation, influencer marketing, engagement",basic social media knowledge,Dr. Amanda Taylor,2200,94.99,Premium,4.7,12,60,10.34
COURSE065,Full Stack Web Development with MEAN Stack,Programming,Web Development,Advanced,"mean stack, mongodb, express, angular, nodejs, full stack development",javascript proficiency,Prof. Michael Rodriguez,1200,119.99,Premium,4.6,14,70,5.52
COURSE066,Fundamentals of Civil Engineering,Engineering,Civil Engineering,Intermediate,"civil engineering, structural engineering, construction, materials, project management",mathematics and physics,Lisa Chen,1000,99.99,Premium,4.5,10,50,4.5
COURSE067,Digital Illustration Masterclass in Procreate,Design,Digital Art,Intermediate,"procreate, digital illustration, ipad art, character design, concept art",basic drawing skills,Dr. Kevin Johnson,1400,89.99,Premium,4.6,12,60,6.44
COURSE068,Options Trading Strategies for Beginners,Business,Investment,Intermediate,"options trading, derivatives, investment strategies, risk management, financial markets",basic finance knowledge,Prof. Jennifer Davis,1600,74.99,Mid-range,4.4,8,40,7.04
COURSE069,Complete Guide to Google Cloud Platform (GCP),Engineering,Cloud Computing,Advanced,"gcp, google cloud, cloud architecture, devops, big data, machine learning",cloud computing basics,Dr. Robert Park,1100,94.99,Premium,4.5,12,60,4.95
COURSE070,Developmental Psychology: Child and Adolescent Development,Science,Psychology,Intermediate,"developmental psychology, child development, adolescent psychology, cognitive development",psychology fundamentals,Maria Santos,1200,64.99,Mid-range,4.3,6,30,5.16
COURSE071,The Complete YouTube Creator Course,Business,Content Creation,Beginner,"youtube, content creation, video marketing, monetization, audience building",basic video editing,Carlos Anderson,800,89.99,Premium,4.4,8,40,3.52
COURSE072,Introduction to Astrophysics,Science,Astrophysics,Advanced,"astrophysics, cosmology, stellar evolution, black holes, space exploration, relativity",physics and mathematics,Dr. Angela White,1300,84.99,Premium,4.6,10,50,5.98
COURSE073,Complete Vue.js Developer Course,Programming,Web Development,Intermediate,"vuejs, javascript, frontend development, spa, component based architecture",javascript fundamentals,Prof. Lisa Martinez,2000,54.99,Mid-range,4.3,6,30,8.6
COURSE074,Pharmaceutical Sciences: Drug Discovery and Development,Science,Pharmaceutical Sciences,Advanced,"pharmaceutical sciences, drug discovery, pharmacology, clinical trials, regulatory affairs",chemistry and biology,Dr. Michael Chen,800,129.99,Premium,4.7,12,60,3.76
COURSE075,Email Marketing Mastery: Complete Course + Bonuses,Business,Email Marketing,Intermediate,"email marketing, automation, list building, campaign management, conversion optimization",basic marketing knowledge,Prof. Sarah Black,600,119.99,Premium,4.6,10,50,2.76
COURSE076,3D Character Modeling and Rigging,Design,3D Animation,Advanced,"3d modeling, character rigging, animation, maya, blender, game assets",3d software basics,Dr. Kevin Rodriguez,900,139.99,Premium,4.5,14,70,4.05
COURSE077,Complete Apache Kafka for Beginners,Engineering,Data Engineering,Intermediate,"kafka, streaming data, distributed systems, real time processing, microservices",basic programming knowledge,Maria Thompson,1200,89.99,Premium,4.4,8,40,5.28
COURSE078,Clinical Psychology: Assessment and Treatment,Science,Psychology,Advanced,"clinical psychology, psychological assessment, therapy techniques, mental disorders",psychology degree,Dr. James Wilson,1000,109.99,Premium,4.7,12,60,4.7
COURSE079,Complete SEO Course: Rank #1 in Google,Business,SEO,Intermediate,"seo, search engine optimization, google ranking, keyword research, link building",basic web knowledge,Prof. Lisa Davis,1100,74.99,Mid-range,4.3,6,30,4.73
COURSE080,Introduction to Materials Science and Engineering,Engineering,Materials Science,Intermediate,"materials science, metallurgy, polymers, ceramics, composite materials, properties",chemistry and physics,Dr. Robert Garcia,500,159.99,Premium,4.8,16,80,2.4
COURSE081,Portrait Photography: Capturing Emotion and Personality,Arts,Photography,Advanced,"portrait photography, lighting, posing, composition, post processing, studio techniques",photography fundamentals,Amanda Martinez,2400,39.99,Budget,4.2,4,20,10.08
COURSE082,Complete React Native Developer Course,Programming,Mobile Development,Advanced,"react native, mobile development, cross platform, javascript, ios, android",react knowledge,Dr. Steven Kim,800,84.99,Premium,4.4,8,40,3.52
COURSE083,Organic Farming and Sustainable Agriculture,Science,Agriculture,Intermediate,"organic farming, sustainable agriculture, soil science, crop management, pest control",basic biology,Prof. Jennifer Chen,600,129.99,Premium,4.6,14,70,2.76
COURSE084,Complete Affiliate Marketing Course,Business,Affiliate Marketing,Beginner,"affiliate marketing, passive income, online marketing, commission based sales, niche marketing",basic marketing concepts,Dr. Carlos Brown,900,94.99,Premium,4.3,10,50,3.87
COURSE085,Introduction to Biomedical Engineering,Engineering,Biomedical Engineering,Advanced,"biomedical engineering, medical devices, biomaterials, signal processing, healthcare technology",engineering fundamentals,Maria Rodriguez,400,149.99,Premium,4.7,12,60,1.88
COURSE086,Mindfulness and Meditation for Well-being,Science,Psychology,Beginner,"mindfulness, meditation, stress reduction, mental health, well being, mindfulness based therapy",basic psychology knowledge,Dr. Tom Wilson,1200,99.99,Premium,4.6,14,70,5.52
COURSE087,Complete Amazon FBA Course: Private Label Products,Business,E-commerce,Intermediate,"amazon fba, private label, product sourcing, e-commerce, online selling, inventory management",basic business knowledge,Jessica Martinez,1800,74.99,Mid-range,4.4,10,50,7.92
COURSE088,Advanced Calculus: Multivariable and Vector Calculus,Science,Mathematics,Advanced,"multivariable calculus, vector calculus, partial derivatives, multiple integrals, vector fields",single variable calculus,Prof. David Kim,1000,129.99,Premium,4.7,16,80,4.7
COURSE089,Complete Swift iOS App Development Course,Programming,Mobile Development,Advanced,"swift, ios development, xcode, mobile apps, app store, ui kit",programming fundamentals,Dr. Sarah Thompson,1400,89.99,Premium,4.5,12,60,6.3
COURSE090,Food Science and Nutrition,Science,Nutrition,Intermediate,"food science, nutrition, food safety, food chemistry, dietary analysis, public health",basic chemistry and biology,Carlos Chen,1600,84.99,Premium,4.4,10,50,7.04
COURSE091,Complete PPC Advertising Course,Business,Digital Advertising,Intermediate,"ppc advertising, google ads, facebook ads, campaign optimization, conversion tracking",basic marketing knowledge,Prof. Lisa Garcia,800,79.99,Mid-range,4.3,8,40,3.44
COURSE092,Introduction to Robotics Engineering,Engineering,Robotics,Advanced,"robotics, automation, control systems, sensors, actuators, programming",engineering and programming,Dr. Michael Davis,600,139.99,Premium,4.6,14,70,2.76
COURSE093,Watercolor Painting Techniques for Beginners,Arts,Visual Arts,Beginner,"watercolor painting, painting techniques, color theory, composition, art fundamentals",basic art knowledge,Amanda Rodriguez,1200,64.99,Mid-range,4.2,6,30,5.04
COURSE094,Complete Django Web Development Course,Programming,Web Development,Advanced,"django, python, web development, mvc framework, database design, web applications",python proficiency,Prof. Kevin Martinez,1000,74.99,Mid-range,4.3,8,40,4.3
COURSE095,Forensic Science: Crime Scene Investigation,Science,Forensic Science,Intermediate,"forensic science, crime scene investigation, evidence collection, laboratory analysis, criminal justice",basic science knowledge,Dr. Jennifer Wilson,1400,59.99,Mid-range,4.4,6,30,6.16
COURSE096,Complete Cryptocurrency Investment Course,Business,Investment,Advanced,"cryptocurrency, blockchain, bitcoin, investment strategies, portfolio management, trading",basic finance knowledge,Prof. Robert Kim,800,149.99,Premium,4.7,16,80,3.76
COURSE097,Petroleum Engineering Fundamentals,Engineering,Petroleum Engineering,Advanced,"petroleum engineering, oil and gas, drilling, reservoir engineering, production systems",engineering fundamentals,Dr. Angela Chen,1100,79.99,Mid-range,4.5,8,40,4.95
COURSE098,Art History: From Ancient to Contemporary,Arts,Art History,Intermediate,"art history, art movements, cultural studies, visual analysis, museum studies",basic art appreciation,Maria Brown,600,69.99,Mid-range,4.3,6,30,2.58
COURSE099,Complete Selenium WebDriver with Java,Programming,Software Testing,Advanced,"selenium, test automation, java, web testing, quality assurance, continuous integration",java programming,Dr. Lisa Thompson,2400,94.99,Premium,4.5,12,60,10.8
COURSE100,Marine Biology: Ocean Life and Ecosystems,Science,Marine Biology,Intermediate,"marine biology, ocean ecosystems, marine life, conservation, aquatic environments, biodiversity",biology fundamentals,Prof. Kevin Davis,2000,89.99,Premium,4.4,12,60,8.8
COURSE101,Advanced Python for Data Analysis and Visualization,Programming,Data Science,Advanced,"python, data analysis, pandas, matplotlib, seaborn, statistical analysis",intermediate python knowledge,Dr. Sarah Martinez,2200,74.99,Mid-range,4.6,8,40,10.12
COURSE102,Machine Learning with Scikit-Learn: Complete Hands-On Guide,Programming,Data Science,Intermediate,"machine learning, scikit-learn, python, classification, regression, clustering",basic python and statistics,Prof. Michael Rodriguez,1600,119.99,Premium,4.7,14,70,7.52
COURSE103,Deep Learning for Computer Vision with PyTorch,Programming,Artificial Intelligence,Advanced,"deep learning, computer vision, pytorch, cnn, image processing, neural networks",machine learning fundamentals,Dr. Amanda Wilson,1400,99.99,Premium,4.5,10,50,6.3
COURSE104,Natural Language Processing with NLTK and spaCy,Programming,Artificial Intelligence,Advanced,"nlp, natural language processing, nltk, spacy, text mining, sentiment analysis",python and linguistics basics,Carlos Kim,1200,109.99,Premium,4.6,12,60,5.52
COURSE105,Time Series Analysis and Forecasting with Python,Programming,Data Science,Advanced,"time series, forecasting, python, arima, statistics, predictive modeling",statistics and python,Dr. Jennifer Chen,1800,69.99,Mid-range,4.3,6,30,7.74
COURSE106,Big Data Analytics with Apache Spark,Programming,Data Science,Advanced,"big data, apache spark, scala, data processing, distributed computing, hadoop",programming and database knowledge,Prof. Robert Garcia,1000,89.99,Premium,4.4,10,50,4.4
COURSE107,Data Engineering with Apache Airflow,Programming,Data Science,Advanced,"data engineering, apache airflow, etl, workflow management, python, automation",python and database skills,Maria Davis,1600,64.99,Mid-range,4.2,6,30,6.72
COURSE108,Statistical Learning and Inference,Science,Statistics,Advanced,"statistical learning, inference, hypothesis testing, bayesian statistics, r programming",mathematics and statistics,Dr. Steven Martinez,800,129.99,Premium,4.5,14,70,3.6
COURSE109,Reinforcement Learning: Theory and Practice,Programming,Artificial Intelligence,Advanced,"reinforcement learning, q-learning, deep q-networks, policy gradient, game theory",machine learning and mathematics,Prof. Lisa Rodriguez,1200,79.99,Mid-range,4.4,8,40,5.28
COURSE110,Computer Vision Fundamentals with OpenCV,Programming,Artificial Intelligence,Intermediate,"computer vision, opencv, image processing, pattern recognition, python",basic programming knowledge,Dr. Kevin Thompson,600,109.99,Premium,4.3,10,50,2.58
COURSE111,Database Design and SQL Server Administration,Programming,Database Management,Advanced,"sql server, database design, administration, performance tuning, backup recovery",intermediate sql knowledge,Amanda Brown,1000,94.99,Premium,4.5,8,40,4.5
COURSE112,NoSQL Databases: MongoDB and Cassandra,Programming,Database Management,Intermediate,"nosql, mongodb, cassandra, database design, scalability, distributed systems",basic database concepts,Dr. Patricia Wilson,1200,69.99,Mid-range,4.4,8,40,5.28
COURSE113,Advanced JavaScript: ES6+ and Modern Development,Programming,Web Development,Advanced,"javascript, es6, async programming, modules, webpack, modern frameworks",intermediate javascript,Prof. James Kim,1000,59.99,Mid-range,4.3,6,30,4.3
COURSE114,Full Stack Development with Django and React,Programming,Web Development,Advanced,"django, react, full stack, rest api, postgresql, web applications",python and javascript proficiency,Dr. Sarah Garcia,1400,74.99,Mid-range,4.5,8,40,6.3
COURSE115,GraphQL API Development and Implementation,Programming,Web Development,Advanced,"graphql, api development, apollo, mutations, subscriptions, schema design",web development experience,Maria Chen,800,89.99,Premium,4.2,10,50,3.36
COURSE116,Microservices Architecture with Spring Boot,Programming,Web Development,Advanced,"microservices, spring boot, java, distributed systems, api gateway, containerization",java programming experience,Dr. Michael Rodriguez,600,99.99,Premium,4.4,12,60,2.64
COURSE117,Progressive Web Apps Development,Programming,Web Development,Intermediate,"pwa, progressive web apps, service workers, offline functionality, web performance",html css javascript,Prof. Jennifer Davis,700,84.99,Premium,4.3,10,50,3.01
COURSE118,WebAssembly Programming and Optimization,Programming,Web Development,Advanced,"webassembly, wasm, performance optimization, rust, c++, browser programming",systems programming knowledge,Dr. Lisa Martinez,1800,64.99,Mid-range,4.6,6,30,8.28
COURSE119,Cyber Threat Intelligence and Analysis,Engineering,Cybersecurity,Advanced,"threat intelligence, malware analysis, incident response, cyber forensics, security operations",cybersecurity fundamentals,Carlos Thompson,1200,69.99,Mid-range,4.4,8,40,5.28
COURSE120,Network Penetration Testing with Metasploit,Engineering,Cybersecurity,Advanced,"penetration testing, metasploit, vulnerability assessment, exploit development, kali linux",networking and security basics,Dr. Amanda Kim,1000,89.99,Premium,4.5,10,50,4.5
COURSE121,Cloud Security: AWS and Azure Best Practices,Engineering,Cybersecurity,Advanced,"cloud security, aws security, azure security, iam, encryption, compliance",cloud computing knowledge,Prof. Robert Wilson,900,79.99,Mid-range,4.3,8,40,3.87
COURSE122,Digital Forensics and Incident Response,Engineering,Cybersecurity,Advanced,"digital forensics, incident response, evidence collection, malware analysis, investigation techniques",cybersecurity and legal basics,Maria Rodriguez,1100,64.99,Mid-range,4.2,6,30,4.62
COURSE123,Secure Coding Practices and Application Security,Engineering,Cybersecurity,Intermediate,"secure coding, application security, owasp, code review, vulnerability prevention",programming fundamentals,Dr. Steven Chen,600,109.99,Premium,4.4,12,60,2.64
COURSE124,Cryptocurrency Security and Blockchain Forensics,Engineering,Cybersecurity,Advanced,"cryptocurrency security, blockchain forensics, bitcoin investigation, smart contract auditing",blockchain and security knowledge,Prof. Angela Brown,800,94.99,Premium,4.5,10,50,3.6
COURSE125,iOS Security Testing and Mobile Penetration Testing,Engineering,Cybersecurity,Advanced,"ios security, mobile penetration testing, app security, reverse engineering, mobile forensics",mobile development and security,Dr. Michelle Garcia,1200,109.99,Premium,4.6,12,60,5.52
COURSE126,Social Engineering and Human Factor Security,Engineering,Cybersecurity,Intermediate,"social engineering, human factors, security awareness, phishing, psychological manipulation",basic security concepts,Prof. Daniel Thompson,1400,79.99,Mid-range,4.4,8,40,6.16
COURSE127,Advanced React Patterns and Performance Optimization,Programming,Web Development,Advanced,"react, performance optimization, design patterns, hooks, context api, state management",react proficiency,Dr. Sarah Wilson,1600,84.99,Premium,4.5,10,50,7.2
